id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
95992,90934,0 Story,NULL,2000-04-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104125,1642,007 Racing,NULL,2000-11-20 00:00:00.000,3,NULL,NULL,NULL,62.7729,18
109844,39809,1 On 1 Government,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112197,127640,102 Dalmatians: Activity Centre,NULL,2000-11-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130055,94316,10SIX Online,NULL,2000-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45543,6079,1944: The Loop Master,NULL,2000-06-20 00:00:00.000,1,NULL,NULL,NULL,59.9905,7
47136,6733,1945k III,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185277,9894,1nsane,NULL,2000-12-31 00:00:00.000,6,NULL,NULL,NULL,89.9348,11
100299,57651,3D Recon,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
98742,73627,3-D Ultra Lionel Train Town Deluxe,NULL,2000-09-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58855,3701,4 Wheel Thunder,NULL,2000-05-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96745,584,4x4 Evolution,NULL,2000-10-29 00:00:00.000,3,NULL,80.0000,1,NULL,NULL
47907,49871,4X4 World Trophy,NULL,2000-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
68033,27622,7 Blades,"7 Blades is based on the 1990 film Zipang, directed by Japanese filmmaker Kaizo Hayashi.[1] The game takes place in mid-17th century Japan, during which the Tokugawa shogunate was gaining power. The game is set on the man-made island Dejima, which the Japanese government is using to house Western foreigners and were a Christian group is trying to separate from the rest of the country.[1][2] The main character is Gokurakumaru, a violent mercenary, and poor womanizer. He travels with his gun-wielding love interest (Oyuri) and sidekick (Togizo). The latter provides comic relief and holds the swords as Gokurakumaru collects them one by one.",2000-12-21 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
67879,70459,7: Molmorth no Kiheitai,NULL,2000-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101927,79451,9:05,NULL,2000-01-03 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
130976,71436,A Crimson Spring,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21150,44841,A2 Racer III: Europa Tour,NULL,2000-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
76575,135093,Abenteuer Landtag 2,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
50385,61643,Ace Ventura Pet Detective: The Case of the Serial Shaver,NULL,2000-09-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30661,91371,Aces High,NULL,2000-05-08 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
4628,94123,Aconcagua,NULL,2000-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174822,44848,Action Man: Destruction X,NULL,2000-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46027,28090,Action Man: Operation Extreme,NULL,2000-06-25 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
109435,45083,Action Man: Operation Extreme,NULL,2000-12-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148579,220071,Activision Plug & Play,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
99252,93104,Ad Verbum,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
100772,64903,Addie no Okurimono: To Moze from Addie,NULL,2000-02-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104402,60804,Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen,NULL,2000-06-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36756,3708,AeroWings 2: Airstrike,NULL,2000-02-24 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
94418,50321,Age of Empires: Collector's Edition,"Age of Empires requires the player to develop a civilization from a handful of hunter-gatherers to an expansive Iron Age empire. To ensure victory, the player must gather resources in order to pay for new units, buildings and more advanced technologies. Resources must also be preserved, as no new resources become available as the game progresses, meaning if you cut a tree down, the tree will not grow back. Twelve civilizations are available, each with individual sets of attributes, including a varying number of available technologies and units. Each civilization has technologies unique to them, so that no civilization possesses all the technologies possible within the game. A major component of the game is the advancement through four ages. These are the Stone Age (Mesolithic/Paleolithic), Tool Age (Neolithic/Chalcolithic), Bronze Age and Iron Age. Advancement between ages is researched at the Town Center and each advancement brings the player new technologies, weapons, and units.",2000-10-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75992,71500,AI Wars: The Awakening,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
72046,11411,Air,"Kunisaki Yukito's deceased mother left him with the doll and her last wish that Yukito look for the ""girl in the skies"" because it is his destiny to save her. Only half-understanding what his mother meant, Yukito has been traveling across Japan, vainly searching for this myth-like girl his mother told him about. His latest destination is a small, sleepy town where summer has just arrived; and his encounter with a young girl named Misuzu there sets the wheels of destiny turning....",2000-09-08 00:00:00.000,2,NULL,78.0000,0,NULL,NULL
174932,43934,Air Hockey,NULL,2000-05-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141100,52371,Air Offensive: The Art of Flying,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
144440,24702,Airfix: Dogfighter,NULL,2000-01-14 00:00:00.000,3,NULL,NULL,NULL,81.7341,6
174925,47285,Airforce Delta,NULL,2000-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78435,78900,Airport Tycoon,NULL,2000-04-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14762,148298,Aitakute... Your smiles in my heart,"You're in tenth grade, your parents are out of the country for a year, and your new private school has affairs of the heart as a major elective. If that isn't reason enough to get chummy with the opposite sex, you're also a teenage male, and your father has decided that he'll find you a ""really nice"" girlfriend if you can't do it yourself. Throw in the fact that the only person you know at this new school is a Casanova who turned down a top-ten prep school because it wasn't coed, and one has the ingredients for a good old-fashioned romance sim.",2000-03-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69460,125961,Alarm für Cobra 11: Das Spiel zur RTL-Erfolgsserie,NULL,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
174845,202678,Alchemist,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61675,49974,Alfred's Adventure,NULL,2000-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33871,76196,Ali Baba,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90873,140323,Alice in Wonderland,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46482,44995,Alien Resurrection,NULL,2000-11-10 00:00:00.000,2,NULL,NULL,NULL,63.0937,5
171228,14818,Aliens versus Predator Classic 2000,NULL,2000-03-28 00:00:00.000,3,NULL,NULL,NULL,79.2380,5
